CHR	BP1	BP2	PRB	GEN	HWU_P	NWU_P	PWU_P	GEN_P
1	1257686	1271561	GI_32479520-I	DVL1	8.34E-01	6.54E-01	7.74E-01	0.2986555905
1	1259190	1392660	GI_10864649-S	PRKCZ	5.64E-01	7.23E-01	4.24E-01	0.6721425272
1	1292384	1307924	GI_16945965-S	ACAP3	6.40E-01	6.35E-01	5.30E-01	0.7720487446
1	1296136	1297844	GI_8923564-S	AURKAIP1	5.09E-01	7.41E-01	3.57E-01	0.6920973895
1	1308113	1322132	GI_24475708-S	CCNL2	4.07E-01	7.11E-01	3.09E-01	0.5360886615
1	1308582	1311677	GI_23503258-S	PUSL1	7.30E-01	6.59E-01	6.46E-01	0.231370738
1	1311585	1324687	GI_39725639-I	CPSF3L	5.22E-02	6.14E-01	3.42E-02	0.0372944078
1	1324690	1330107	GI_26638656-S	MRPL20	1.55E-01	3.72E-02	4.35E-01	0.0252079451
1	1335278	1349117	GI_32479520-I	DVL1	5.46E-01	7.51E-01	3.46E-01	0.2125133954
1	1358164	1365523	GI_40068484-S	VWA1	8.97E-01	7.38E-01	8.74E-01	0.7665519483
1	1373730	1375438	GI_8923564-S	AURKAIP1	5.43E-01	7.74E-01	3.78E-01	0.0130904209
1	1385711	1399338	GI_24475708-S	CCNL2	5.10E-01	3.82E-01	5.11E-01	0.666613651
1	1391725	1419526	GI_32698895-S	C1orf86	3.60E-01	7.34E-01	1.98E-01	0.6729748793
1	1394442	1418860	GI_34147726-S	ATAD3B	5.42E-02	7.48E-01	1.59E-02	0.0988263239
1	1401896	1407313	GI_26638656-S	MRPL20	2.65E-01	4.53E-01	1.98E-01	0.4104268948
1	1434817	1457345	GI_42476027-S	ATAD3A	1.90E-01	2.69E-01	1.87E-01	0.122058081
1	1435523	1442882	GI_40068484-S	VWA1	2.68E-01	1.64E-01	5.16E-01	0.1914999048
1	1464275	1497415	GI_7661831-S	SSU72	7.25E-01	8.22E-01	5.37E-01	0.3735461931
1	1471759	1509472	GI_34147726-S	ATAD3B	1.52E-01	8.37E-01	1.05E-01	0.6212647585
1	1512143	1534687	GI_42476027-S	ATAD3A	8.49E-01	6.80E-01	8.07E-01	0.1201879424
1	1527136	1601554	GI_13376266-S	MORN1	6.45E-01	5.90E-01	5.72E-01	0.783061455
1	1537413	1553030	GI_21264329-S	MIB2	6.15E-01	3.94E-01	6.37E-01	0.1637930747
1	1541673	1574882	GI_7661831-S	SSU72	4.64E-01	5.46E-01	3.83E-01	0.1312460554
1	1554600	1557086	GI_5902003-S	MMP23B	3.85E-02	3.12E-01	3.61E-02	0.4151241546
1	1558156	1577529	GI_16332359-A	CDK11B	5.76E-01	5.37E-01	5.06E-01	0.222417711
1	1601775	1615592	GI_19923786-S	RER1	5.20E-01	4.84E-01	4.77E-01	0.3508717146
1	1614950	1622719	GI_24797087-A	PEX10	3.72E-01	4.51E-01	3.24E-01	0.0570420127
1	1614969	1630610	GI_21264329-S	MIB2	6.52E-01	4.66E-01	6.38E-01	0.4296775798
1	1631681	1634654	GI_5902003-S	MMP23B	2.86E-01	7.16E-01	1.56E-01	0.4721655835
1	1635226	1659839	GI_16332359-A	CDK11B	8.96E-01	7.57E-01	8.54E-01	0.014747227
1	1643314	1664498	GI_33469136-I	SLC35E2	3.78E-01	7.13E-01	3.05E-01	0.575967705
1	1669727	1698551	GI_20070325-S	NADK	9.35E-01	7.06E-01	9.52E-01	0.6930644374
1	1703767	1809575	GI_20357526-S	GNB1	4.75E-01	2.89E-01	5.23E-01	0.4711746071
1	1718423	1731652	GI_8922664-S	PANK4	1.72E-01	3.52E-01	1.34E-01	0.4980767461
1	1724838	1745999	GI_33469136-I	SLC35E2	7.77E-01	2.54E-01	9.40E-01	4.2724590227472E-005
1	1751232	1780514	GI_20070325-S	NADK	7.54E-01	2.55E-01	9.36E-01	0.5429452164
1	1767040	1774503	GI_23200040-S	TNFRSF14	3.88E-01	3.13E-01	4.01E-01	0.7523715681
1	1785285	1891117	GI_20357526-S	GNB1	7.45E-01	6.95E-01	6.42E-01	0.5658211182
1	1797135	1802144	GI_22748798-S	FAM213B	3.92E-01	1.75E-01	5.85E-01	0.7996701906
1	1833291	1835760	GI_20162573-S	CALML6	1.35E-01	6.29E-01	1.15E-01	0.103124099
1	1836054	1837765	GI_31341734-S	TMEM52	9.82E-02	7.37E-01	7.96E-02	0.7115189831
1	1914827	1917294	GI_20162573-S	CALML6	5.50E-01	7.49E-01	3.33E-01	0.6326944963
1	1917590	1919301	GI_31341734-S	TMEM52	4.66E-02	7.77E-01	3.07E-02	0.6666993851
1	1937892	1949316	GI_34734070-S	GABRD	7.40E-01	2.88E-01	8.40E-01	0.8212773407
1	1969035	2101756	GI_10864649-S	PRKCZ	7.31E-01	8.04E-01	5.58E-01	0.0028661454
1	2019329	2030753	GI_34734070-S	GABRD	7.04E-01	6.63E-01	5.69E-01	0.24127763
1	2050470	2185395	GI_10864649-S	PRKCZ	4.52E-01	4.97E-01	4.13E-01	0.7056316692
1	2100821	2131279	GI_32698895-S	C1orf86	7.38E-01	8.17E-01	5.28E-01	0.2802966407
1	2184460	2212720	GI_32698895-S	C1orf86	3.94E-01	2.31E-01	4.46E-01	0.5698267318
1	2238943	2310019	GI_13376266-S	MORN1	8.20E-01	4.54E-01	8.67E-01	0.6006827465
1	2310240	2323952	GI_19923786-S	RER1	8.41E-01	7.47E-01	7.67E-01	0.110660606
1	2320280	2391751	GI_13376266-S	MORN1	7.72E-01	6.84E-01	7.03E-01	0.5444363743
1	2323310	2331079	GI_24797087-A	PEX10	5.24E-01	6.52E-01	4.38E-01	0.399516448
1	2391775	2405444	GI_19923786-S	RER1	9.54E-01	8.23E-01	9.54E-01	0.2790233757
1	2404802	2412571	GI_24797087-A	PEX10	9.53E-01	9.47E-01	7.95E-01	0.7094074615
1	2426721	2444792	GI_8922664-S	PANK4	3.35E-01	6.64E-01	2.41E-01	0.5670080978
1	2474873	2482336	GI_23200040-S	TNFRSF14	2.02E-01	1.57E-01	3.15E-01	0.2348174786
1	2504978	2509987	GI_22748798-S	FAM213B	2.72E-01	3.17E-01	2.60E-01	0.6805473202
1	2508536	2526622	GI_8922664-S	PANK4	4.67E-02	2.29E-01	4.25E-02	0.4129140134
1	2556366	2563829	GI_23200040-S	TNFRSF14	5.16E-01	4.91E-01	4.59E-01	0.2492719139
1	2586460	2591469	GI_22748798-S	FAM213B	9.83E-01	9.72E-01	9.62E-01	0.5095388476
1	2837972	2843088	GI_38679906-S	TPRG1L	5.83E-01	3.53E-01	6.02E-01	0.7274491037
1	2843724	2862381	GI_16445433-S	WRAP73	8.47E-01	5.85E-01	8.21E-01	0.8070715706
1	2991976	3008273	GI_24308206-S	LRRC47	8.86E-01	7.71E-01	7.93E-01	0.5414251369
1	3024327	3069355	GI_7662179-S	CEP104	5.00E-01	5.58E-01	4.28E-01	0.6802083481
1	3069389	3097689	GI_4758149-S	DFFB	7.46E-01	6.71E-01	6.25E-01	0.7157166151
1	3528259	3533375	GI_38679906-S	TPRG1L	1.90E-01	2.13E-02	4.26E-01	0.0898885786
1	3534011	3552947	GI_16445433-S	WRAP73	8.94E-01	7.98E-01	8.24E-01	0.7030036452
1	3624992	3630131	GI_38679906-S	TPRG1L	8.33E-01	6.68E-01	7.85E-01	0.729652252
1	3630767	3650107	GI_16445433-S	WRAP73	9.55E-01	8.22E-01	9.43E-01	0.6969663104
1	3683800	3700087	GI_24308206-S	LRRC47	9.04E-01	8.49E-01	7.92E-01	0.0421882959
1	3715664	3760800	GI_7662179-S	CEP104	5.09E-01	6.59E-01	4.36E-01	0.6009022534
1	3760834	3789006	GI_4758149-S	DFFB	9.49E-01	8.80E-01	8.98E-01	0.6347430178
1	3780220	3796504	GI_24308206-S	LRRC47	9.41E-01	7.49E-01	9.22E-01	0.8431787044
1	3812081	3857233	GI_7662179-S	CEP104	5.38E-01	1.38E-01	7.50E-01	0.4391844049
1	5071502	5201940	GI_34304361-S	NPHP4	9.50E-01	7.72E-01	9.54E-01	0.8220404587
1	5201765	5310071	GI_27436968-A	KCNAB2	1.76E-01	5.16E-02	2.47E-01	0.7294588767
1	5393350	5407949	GI_17402905-S	RPL22	5.66E-01	4.95E-01	5.18E-01	0.3423381429
1	5429524	5444303	GI_24797154-A	ICMT	5.07E-01	5.95E-01	3.84E-01	0.3993488747
1	5668754	5673798	GI_23200030-A	TNFRSF25	9.11E-01	8.51E-01	8.13E-01	0.1192598888
1	5729135	5762403	GI_40217804-S	NOL9	7.03E-01	3.30E-01	7.68E-01	0.1161952048
1	5787988	5797267	GI_4885418-S	ZBTB48	1.24E-01	3.11E-02	5.67E-01	0.0832336492
1	5798711	5810856	GI_7662139-S	KLHL21	1.49E-01	2.59E-01	1.38E-01	0.6439210345
1	5821676	5831583	GI_24432092-S	PHF13	8.79E-01	8.67E-01	5.94E-01	0.8121741057
1	5841691	5909280	GI_8922628-S	DNAJC11	1.63E-01	6.39E-01	9.21E-02	0.8452632875
1	5862810	5992558	GI_34304361-S	NPHP4	7.87E-01	8.45E-01	5.67E-01	0.0368483185
1	5911568	6041216	GI_34304361-S	NPHP4	7.17E-01	6.07E-01	6.54E-01	0.0112566758
1	5992298	6101193	GI_27436968-A	KCNAB2	6.45E-02	6.87E-01	4.74E-02	0.0231587367
1	6041041	6149632	GI_27436968-A	KCNAB2	1.72E-01	2.69E-01	1.98E-01	0.5708841822
1	6185020	6199619	GI_17402905-S	RPL22	5.06E-01	2.31E-01	6.28E-01	0.2069189655
1	6221193	6235984	GI_24797154-A	ICMT	4.01E-01	7.97E-01	2.18E-01	0.6732311745
1	6233456	6248323	GI_17402905-S	RPL22	6.70E-01	4.37E-01	6.55E-01	0.4422762452
1	6269895	6284684	GI_24797154-A	ICMT	8.51E-01	8.52E-01	7.35E-01	0.236426608
1	6461151	6466195	GI_23200030-A	TNFRSF25	1.85E-01	8.07E-02	8.68E-01	0.5436704906
1	6509749	6514768	GI_23200030-A	TNFRSF25	9.07E-01	9.29E-01	7.04E-01	0.4044145928
1	6521347	6554598	GI_40217804-S	NOL9	6.04E-01	8.91E-01	2.27E-01	0.2712225689
1	6570077	6603335	GI_40217804-S	NOL9	6.71E-01	6.21E-01	5.69E-01	0.4281962271
1	6579991	6589280	GI_4885418-S	ZBTB48	6.26E-01	6.56E-01	4.53E-01	0.3020079382
1	6590724	6602898	GI_7662139-S	KLHL21	6.79E-01	6.08E-01	5.61E-01	0.7107893203
1	6613696	6624033	GI_24432092-S	PHF13	7.42E-01	5.71E-01	7.10E-01	0.7135683853
1	6628790	6638066	GI_4885418-S	ZBTB48	6.33E-01	5.66E-01	4.98E-01	0.5238456538
1	6634168	6701906	GI_8922628-S	DNAJC11	9.48E-02	1.90E-01	1.05E-01	0.0250549421
1	6639510	6651654	GI_7662139-S	KLHL21	8.25E-01	6.20E-01	8.68E-01	0.2259773204
1	6662474	6672816	GI_24432092-S	PHF13	8.78E-01	7.26E-01	8.29E-01	0.7794520214
1	6682946	6750670	GI_8922628-S	DNAJC11	6.36E-02	8.94E-02	9.22E-02	0.0004123393
1	6979774	6989939	GI_42544205-S	VAMP3	8.55E-01	7.55E-01	7.90E-01	0.671194572
1	6993003	7053532	GI_8567387-S	PER3	8.58E-01	7.05E-01	8.20E-01	0.6120383453
1	7055968	7061853	GI_12056478-I	UTS2	8.54E-01	4.98E-01	8.69E-01	0.668399449
1	7169316	7193163	GI_34222306-S	PARK7	6.57E-01	3.94E-01	6.79E-01	0.4843167417
1	7219226	7233836	GI_21314673-S	ERRFI1	8.53E-01	7.42E-01	8.06E-01	0.528026003
1	7561179	8026761	GI_19923392-S	RERE	4.26E-01	8.03E-01	3.23E-01	0.3613950871
1	7771269	7781432	GI_42544205-S	VAMP3	9.84E-01	9.36E-01	9.52E-01	0.6831031176
1	7784340	7845181	GI_8567387-S	PER3	8.35E-01	6.42E-01	8.09E-01	0.6995670869
1	7819031	7829192	GI_42544205-S	VAMP3	9.43E-01	6.87E-01	9.67E-01	0.0293807954
1	7832500	7892974	GI_8567387-S	PER3	8.12E-01	7.41E-01	7.27E-01	0.7074286504
1	7847612	7853491	GI_12056478-I	UTS2	9.42E-01	7.49E-01	9.58E-01	0.0045793343
1	7895413	7901298	GI_12056478-I	UTS2	9.70E-01	8.51E-01	9.75E-01	0.007503203
1	7961654	7985282	GI_34222306-S	PARK7	8.67E-01	7.71E-01	7.95E-01	0.5504615157
1	8009469	8033097	GI_34222306-S	PARK7	7.70E-01	6.83E-01	7.03E-01	0.0012495116
1	8011719	8026333	GI_21314673-S	ERRFI1	8.93E-01	6.74E-01	8.97E-01	0.8271010523
1	8059534	8074168	GI_21314673-S	ERRFI1	4.03E-01	4.83E-01	3.60E-01	0.8322107492
1	8070030	8088151	GI_16507965-S	ENO1	2.55E-01	8.78E-01	1.71E-01	0.6586470086
1	8246781	8279898	GI_4507012-S	SLC2A5	9.46E-01	9.66E-01	6.35E-01	0.8790045318
1	8352404	8817640	GI_19923392-S	RERE	5.79E-01	7.77E-01	4.14E-01	0.0023456889
1	8401786	8867545	GI_19923392-S	RERE	5.82E-01	7.45E-01	4.24E-01	0.0070681473
1	8445791	8481724	GI_4758497-S	H6PD	8.97E-02	7.62E-01	6.27E-02	0.6100526553
1	8749879	8793232	GI_14150081-S	SLC25A33	8.89E-01	6.23E-01	8.90E-01	0.7629378568
1	8861000	8879092	GI_16507965-S	ENO1	3.65E-01	7.46E-01	2.33E-01	0.2955612937
1	8867937	8945277	GI_19923288-S	PIK3CD	9.23E-01	9.32E-01	7.19E-01	0.7515453711
1	8910955	8929047	GI_16507965-S	ENO1	8.93E-01	6.95E-01	8.99E-01	0.6163219577
1	8945184	9040629	GI_41281560-S	CLSTN1	8.83E-01	9.46E-01	5.90E-01	0.7475649146
1	9036946	9071704	GI_4507012-S	SLC2A5	9.35E-01	8.96E-01	8.36E-01	0.8176814776
1	9064315	9126095	GI_9910389-S	CTNNBIP1	9.81E-02	1.62E-01	1.23E-01	0.7166988084
1	9086735	9120070	GI_4507012-S	SLC2A5	6.43E-01	1.23E-01	8.15E-01	0.4217020547
1	9145513	9158279	GI_40255081-S	LZIC	2.98E-01	9.60E-01	7.67E-02	0.7106927782
1	9158939	9200537	GI_20070320-S	NMNAT1	2.13E-01	9.26E-01	9.10E-02	0.2395491722
1	9212222	9231040	GI_16418454-S	RBP7	9.52E-01	7.84E-01	9.53E-01	0.8524463104
1	9234764	9271337	GI_4758497-S	H6PD	5.57E-03	8.08E-01	4.86E-03	0.6469523356
1	9248003	9396147	GI_38327033-S	UBE4B	2.64E-01	5.51E-01	2.47E-01	0.7926802356
1	9285083	9321616	GI_4758497-S	H6PD	5.13E-03	1.85E-01	6.94E-03	0.7340297372
1	9426051	9595334	GI_41393558-I	KIF1B	7.67E-01	8.36E-01	5.76E-01	0.8268937589
1	9539469	9582773	GI_14150081-S	SLC25A33	8.92E-01	9.40E-01	5.94E-01	0.0363270632
1	9588092	9631383	GI_14150081-S	SLC25A33	5.09E-01	4.65E-02	9.99E-01	0.0430899792
1	9612776	9633839	GI_40068517-S	PGD	2.30E-01	7.04E-02	7.08E-01	0.0094385094
1	9629889	9729114	GI_19923288-S	PIK3CD	8.13E-01	3.85E-01	9.11E-01	0.4247031454
1	9674182	9686174	GI_4758147-S	DFFA	5.00E-01	7.87E-02	9.80E-01	0.8498968522
1	9688564	9844851	GI_4758895-S	PEX14	8.72E-01	7.87E-01	8.31E-01	0.5444614836
1	9700330	9777708	GI_19923288-S	PIK3CD	9.07E-01	7.35E-01	9.06E-01	0.7254768617
1	9729021	9824492	GI_41281560-S	CLSTN1	1.85E-01	8.19E-01	9.25E-02	0.908331661
1	9777615	9873126	GI_41281560-S	CLSTN1	3.90E-01	8.34E-01	1.34E-01	0.6200498101
1	9848276	9910358	GI_9910389-S	CTNNBIP1	2.35E-01	6.94E-01	1.01E-01	0.7844072533
1	9850697	10009398	GI_40254903-S	CASZ1	8.62E-01	5.57E-01	8.69E-01	0.223047641
1	9896913	9959080	GI_9910389-S	CTNNBIP1	8.66E-01	8.03E-01	7.42E-01	0.7085406991
1	9922110	9943402	GI_40255081-S	LZIC	7.61E-01	8.52E-01	3.60E-01	0.7425925864
1	9943428	9985498	GI_20070320-S	NMNAT1	2.99E-01	8.22E-01	1.30E-01	0.1278962038
1	9978518	9991643	GI_40255081-S	LZIC	8.98E-01	7.27E-01	8.88E-01	0.6599707664
1	9992303	10034914	GI_20070320-S	NMNAT1	4.94E-01	8.95E-01	2.25E-01	0.2436618001
1	9997197	10016020	GI_16418454-S	RBP7	9.79E-01	9.31E-01	9.48E-01	0.2091106577
1	10032983	10181239	GI_38327033-S	UBE4B	6.00E-01	3.55E-01	6.54E-01	0.0254735608
1	10046598	10065387	GI_16418454-S	RBP7	9.10E-01	8.16E-01	8.50E-01	0.7611657275
1	10082336	10230685	GI_38327033-S	UBE4B	5.90E-01	1.97E-01	8.81E-01	0.0151863785
1	10210706	10381603	GI_41393558-I	KIF1B	9.05E-01	6.56E-01	9.02E-01	1.25167864353237E-005
1	10224341	10237229	GI_42741653-S	TARDBP	7.00E-01	3.59E-01	8.25E-01	0.4004418838
1	10238261	10258777	GI_21264360-I	MASP2	7.31E-01	4.83E-01	7.43E-01	0.8143593652
1	10259738	10430539	GI_41393558-I	KIF1B	9.04E-01	7.06E-01	8.87E-01	6.92414343972381E-007
1	10266094	10271363	GI_4507208-S	SRM	3.82E-01	5.80E-01	2.72E-01	0.6891980864
1	10278176	10311219	GI_4505916-S	EXOSC10	6.07E-01	7.71E-01	3.93E-01	0.4111131329
1	10317883	10473910	GI_19924298-S	MTOR	5.40E-01	7.46E-01	3.51E-01	0.5773320243
1	10399028	10420144	GI_40068517-S	PGD	2.53E-01	2.76E-01	2.60E-01	0.4682801025
1	10447954	10469073	GI_40068517-S	PGD	6.49E-01	7.74E-01	4.37E-01	0.4566825452
1	10460531	10472556	GI_4758147-S	DFFA	5.98E-01	8.17E-01	3.61E-01	0.3594796298
1	10474946	10630758	GI_4758895-S	PEX14	5.41E-01	1.26E-01	7.00E-01	0.4737332458
1	10484571	10499808	GI_7019550-S	UBIAD1	6.09E-01	8.99E-01	3.96E-01	0.7123055756
1	10508330	10520370	GI_4758147-S	DFFA	5.45E-01	6.84E-03	9.98E-01	0.9251044233
1	10522760	10678540	GI_4758895-S	PEX14	5.63E-01	1.40E-01	7.64E-01	0.4074144726
1	10636604	10796676	GI_40254903-S	CASZ1	8.29E-01	7.59E-01	7.06E-01	0.5398618155
1	10684386	10844453	GI_40254903-S	CASZ1	8.90E-01	8.45E-01	7.67E-01	0.816460608
1	10862510	10868984	GI_15812197-S	FBXO2	4.25E-01	5.62E-01	3.14E-01	0.6554921458
1	10868528	10877542	GI_34878734-I	FBXO44	8.96E-01	4.80E-01	9.64E-01	0.5047987871
1	10878308	10888516	GI_15812191-S	FBXO6	3.90E-01	5.32E-01	3.60E-01	0.531119283
1	10888642	10905769	GI_6006019-S	MAD2L2	9.13E-01	7.37E-01	9.17E-01	0.0028333242
1	10950284	10965509	GI_24469782-S	AGTRAP	8.41E-01	5.25E-01	9.17E-01	0.572107813
1	11000872	11021217	GI_40254828-S	MTHFR	9.24E-01	9.12E-01	7.69E-01	0.3670828162
1	11012622	11025492	GI_42741653-S	TARDBP	9.46E-01	8.77E-01	8.79E-01	0.7706074576
1	11021210	11058258	GI_4502872-I	CLCN6	3.22E-01	9.06E-01	1.40E-01	0.5396667392
1	11021210	11058258	GI_12025672-A	CLCN6	9.65E-01	9.06E-01	9.09E-01	0.7661940435
1	11026523	11047239	GI_21264360-I	MASP2	3.56E-01	9.43E-01	1.20E-01	0.6584274598
1	11054592	11060034	GI_4507208-S	SRM	9.37E-01	7.38E-01	9.28E-01	0.5229799579
1	11060321	11073209	GI_42741653-S	TARDBP	9.46E-01	8.28E-01	9.14E-01	0.8635508572
1	11066618	11099904	GI_4505916-S	EXOSC10	9.61E-01	9.27E-01	8.72E-01	0.7756313995
1	11074241	11095206	GI_21264360-I	MASP2	5.36E-01	9.12E-01	2.15E-01	0.0216204062
1	11102556	11108076	GI_4507208-S	SRM	9.00E-01	9.04E-01	6.62E-01	0.5490125105
1	11106531	11262557	GI_19924298-S	MTOR	7.00E-01	8.25E-01	3.97E-01	0.6570691194
1	11114657	11147912	GI_4505916-S	EXOSC10	9.05E-01	8.61E-01	7.88E-01	0.5976548317
1	11135097	11141334	GI_25286702-S	KIAA2013	5.98E-01	8.53E-01	2.73E-01	0.1560056053
1	11149615	11190362	GI_32307143-S	PLOD1	4.97E-01	7.76E-01	2.43E-01	0.1050793182
1	11154542	11310885	GI_19924298-S	MTOR	5.88E-01	7.78E-01	3.30E-01	0.7454958595
1	11195001	11228266	GI_41350328-S	MFN2	5.33E-01	4.88E-01	4.58E-01	0.6001319255
1	11233976	11246748	GI_11345471-S	MIIP	7.53E-01	7.37E-01	5.64E-01	0.7474172399
1	11273164	11296314	GI_7019550-S	UBIAD1	9.06E-01	8.51E-01	7.72E-01	0.7565424196
1	11277612	11357523	GI_23510436-A	TNFRSF8	3.96E-01	6.70E-01	2.36E-01	0.9384229983
1	11321582	11336819	GI_7019550-S	UBIAD1	6.31E-01	4.86E-01	5.96E-01	0.5959645852
1	11380310	11422542	GI_23312365-S	TNFRSF1B	3.36E-01	5.83E-02	9.72E-01	0.7662091939
1	11443367	11725135	GI_42734332-S	VPS13D	8.47E-01	7.05E-01	7.91E-01	0.0381046035
1	11647868	11654831	GI_15812197-S	FBXO2	2.36E-01	3.31E-01	2.07E-01	0.2860113565
1	11654375	11663327	GI_34878734-I	FBXO44	2.36E-01	1.12E-01	4.29E-01	0.5235784575
1	11664093	11674354	GI_15812191-S	FBXO6	4.50E-01	2.27E-01	6.03E-01	0.5856670873
1	11674480	11691621	GI_6006019-S	MAD2L2	2.18E-01	1.64E-01	3.13E-01	0.0437941393
1	11696402	11702875	GI_15812197-S	FBXO2	9.58E-01	8.51E-01	9.34E-01	0.6501263546
1	11702419	11711370	GI_34878734-I	FBXO44	9.32E-01	8.22E-01	9.15E-01	0.7046980104
1	11712136	11722413	GI_15812191-S	FBXO6	8.12E-01	7.75E-01	6.91E-01	0.6182882579
1	11722539	11739685	GI_6006019-S	MAD2L2	9.04E-01	7.42E-01	8.82E-01	0.6852251104
1	11736085	11750771	GI_24469782-S	AGTRAP	7.17E-01	6.93E-01	6.01E-01	0.6989226518
1	11780861	11830631	GI_34222303-S	DHRS3	6.45E-01	6.15E-01	5.50E-01	0.6440480951
1	11784155	11798835	GI_24469782-S	AGTRAP	7.12E-01	4.79E-01	7.08E-01	0.6957169795
1	11785730	11806103	GI_40254828-S	MTHFR	7.63E-01	5.55E-01	7.30E-01	0.7116873487
1	11806096	11843144	GI_4502872-I	CLCN6	2.88E-01	8.03E-01	1.54E-01	0.438820811
1	11806096	11843144	GI_12025672-A	CLCN6	9.20E-01	8.03E-01	8.58E-01	0.2114766109
1	11833709	11854054	GI_40254828-S	MTHFR	9.59E-01	8.49E-01	9.15E-01	0.0112465787
1	11854047	11891095	GI_4502872-I	CLCN6	7.97E-01	7.75E-01	6.16E-01	0.5107172802
1	11854047	11891095	GI_12025672-A	CLCN6	8.18E-01	7.75E-01	5.98E-01	0.1391201314
1	11919588	11926428	GI_25286702-S	KIAA2013	3.38E-02	2.74E-01	3.31E-02	0.1750094601
1	11934667	11975542	GI_32307143-S	PLOD1	8.15E-01	6.42E-01	7.78E-01	0.0407078467
1	11967513	11974351	GI_25286702-S	KIAA2013	5.14E-01	6.86E-01	4.01E-01	0.7835954906
1	11980181	12013515	GI_41350328-S	MFN2	7.68E-01	5.17E-01	8.41E-01	0.5797374512
1	11982590	12023381	GI_32307143-S	PLOD1	7.89E-01	5.40E-01	8.00E-01	0.0149025196
1	12019242	12032049	GI_11345471-S	MIIP	8.22E-01	6.79E-01	7.86E-01	0.5135561363
